id,date_observed,time_observed,latitude,longitude,common_name
174,29/08/2021,03:09:52,1.348057125,103.7614234,Red Junglefowl
175,29/08/2021,02:44:38,1.348398677,103.7628426,Red Junglefowl
176,20/08/2021,07:43:00,1.318263168,103.7747097,Red Junglefowl
177,02/09/2021,08:48:23,1.3650665,103.8374763,Red Junglefowl
178,02/09/2021,08:52:53,1.363460091,103.8435613,Red Junglefowl
179,02/09/2021,08:49:17,1.365102,103.8378267,Red Junglefowl
180,03/09/2021,01:46:42,1.361478499,103.9460455,Red Junglefowl
181,05/09/2021,09:21:30,1.348546158,103.7641991,Red Junglefowl
182,05/09/2021,02:00:43,1.348546158,103.7641991,Red Junglefowl
183,02/09/2021,,1.453001711,103.7802693,Red Junglefowl
184,05/09/2021,03:30:59,1.313839696,103.8159135,Red Junglefowl
185,05/09/2021,,1.381053017,103.9515387,Red Junglefowl
186,29/08/2021,07:10:00,1.283915611,103.7912945,Red Junglefowl
187,05/09/2021,,1.373129714,103.9510656,Red Junglefowl
188,10/09/2021,02:32:20,1.348546158,103.7641991,Red Junglefowl
189,23/09/2021,05:01:34,1.379235342,103.950104,Red Junglefowl
190,26/09/2021,06:27:05,1.315892722,103.8161502,Red Junglefowl
191,28/06/2021,07:04:33,1.3789261,103.9480672,Red Junglefowl
192,28/06/2021,07:19:57,1.3813716,103.9495803,Red Junglefowl
193,28/06/2021,08:52:54,1.3776604,103.9497389,Red Junglefowl
194,05/07/2021,06:35:10,1.295262169,103.7724285,Red Junglefowl
195,05/07/2021,07:31:16,1.295876238,103.7727262,Red Junglefowl
196,07/07/2021,09:01:12,1.3586059,103.8486863,Red Junglefowl
197,23/09/2021,08:44:30,1.308628858,103.8151906,Red Junglefowl
198,23/09/2021,09:58:10,1.3145127,103.8150648,Red Junglefowl
199,23/09/2021,10:21:34,1.310142235,103.8174269,Red Junglefowl
200,06/10/2021,23:51:49,1.330700265,103.8487541,Red Junglefowl
201,09/10/2021,06:32:49,1.313839696,103.8159135,Red Junglefowl
202,10/10/2021,06:00:33,1.293592453,103.7810516,Red Junglefowl
203,16/10/2021,07:22:22,1.348546158,103.7641991,Red Junglefowl
204,22/10/2021,09:38:43,1.345011312,103.9493607,Red Junglefowl
205,23/10/2021,07:17:53,1.340560068,103.7793798,Red Junglefowl
206,25/10/2021,09:35:17,1.368366917,103.8335953,Red Junglefowl
207,30/10/2021,08:27:17,1.377741667,103.9496444,Red Junglefowl
208,30/10/2021,08:27:47,1.3778818,103.9495886,Red Junglefowl
209,02/11/2021,00:23:21,1.365949816,103.9539121,Red Junglefowl
210,03/11/2021,23:37:10,1.330593676,103.849204,Red Junglefowl
211,04/11/2021,06:21:27,1.322311558,103.8149267,Red Junglefowl
212,06/11/2021,07:56:16,1.370015221,103.8230753,Red Junglefowl
213,07/11/2021,01:31:24,1.276113889,103.818975,Red Junglefowl
214,06/11/2021,08:24:37,1.30803658,103.8174655,Red Junglefowl
215,11/11/2021,,1.322316251,103.8149267,Red Junglefowl
216,13/11/2021,06:11:51,1.313839696,103.8159135,Red Junglefowl
217,13/11/2021,07:53:33,1.298783,103.7756594,Red Junglefowl
218,13/11/2021,06:06:27,1.265206469,103.8026224,Red Junglefowl
219,12/11/2021,00:56:28,1.316262,103.8170186,Red Junglefowl
220,11/11/2021,09:08:01,1.365092361,103.8385001,Red Junglefowl
221,11/11/2021,08:43:11,1.364135889,103.8442353,Red Junglefowl
222,11/11/2021,08:25:55,1.360485472,103.8477707,Red Junglefowl
223,11/11/2021,09:12:14,1.365983278,103.8379166,Red Junglefowl
224,13/11/2021,06:43:12,1.264400639,103.8038958,Red Junglefowl
225,14/11/2021,02:36:52,1.363408808,103.8435613,Red Junglefowl
226,06/11/2021,00:28:11,1.307736251,103.8166011,Red Junglefowl
227,06/11/2021,00:29:19,1.307773122,103.816461,Red Junglefowl
228,06/11/2021,00:29:16,1.30778787,103.8164469,Red Junglefowl
229,06/11/2021,02:24:19,1.307789546,103.8164415,Red Junglefowl
230,06/11/2021,00:28:31,1.307791892,103.8165052,Red Junglefowl
231,06/11/2021,00:29:01,1.307779155,103.81646,Red Junglefowl
232,14/11/2021,09:21:00,1.372191881,103.9473729,Red Junglefowl
233,12/12/2021,03:48:23,1.276208333,103.8196333,Red Junglefowl
234,10/12/2021,00:55:21,1.2981175,103.9047833,Red Junglefowl
235,14/12/2021,06:08:50,1.284520297,103.8630915,Red Junglefowl
236,09/01/2022,08:53:03,1.291366247,103.7666534,Red Junglefowl
237,17/12/2021,10:49:34,1.35277315,103.8198359,Red Junglefowl
238,20/01/2022,02:51:26,1.322311558,103.8149267,Red Junglefowl
239,29/01/2022,11:00:00,1.293582376,103.9145239,Red Junglefowl
240,29/01/2022,00:01:07,1.3227372,103.8146299,Red Junglefowl
241,05/02/2022,01:58:27,1.277033333,103.8181278,Red Junglefowl
242,05/02/2022,01:58:27,1.277033333,103.8181278,Red Junglefowl
243,05/02/2022,02:58:59,1.3137716,103.8156337,Red Junglefowl
244,05/02/2022,01:23:39,1.3055358,103.8156876,Red Junglefowl
245,15/02/2022,23:40:23,1.355177079,103.7614354,Red Junglefowl
246,12/02/2022,07:53:14,1.378362201,103.9463241,Red Junglefowl
247,12/02/2022,08:17:53,1.380013963,103.9485494,Red Junglefowl
248,12/02/2022,08:23:34,1.380192278,103.9488099,Red Junglefowl
249,12/02/2022,09:33:41,1.376932326,103.9532017,Red Junglefowl
250,17/02/2022,01:35:33,1.292245972,103.847531,Red Junglefowl
251,20/02/2022,03:16:16,1.376491901,103.9550202,Red Junglefowl
252,07/02/2021,02:24:00,1.348908491,103.775735,Red Junglefowl
253,08/03/2022,09:39:30,1.426519238,103.8393784,Red Junglefowl
254,13/03/2022,03:38:12,1.21255543,103.8185136,Red Junglefowl
255,15/03/2022,06:49:47,1.279541688,103.8438229,Red Junglefowl
256,16/03/2022,03:41:22,1.275297141,103.817044,Red Junglefowl
257,29/01/2022,23:51:00,1.322218711,103.8145958,Red Junglefowl
